date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',500,1,0,0,900,1,750,2,0,0,0,0
'2016-12-16',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-17',725,2,0,0,850,12,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',0,0,0,0,1175,2,750,4,0,0,0,0
'2016-12-21',500,3,0,0,0,0,0,0,0,0,0,0
'2016-12-22',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-23',0,0,766,2,0,0,0,0,0,0,0,0
'2016-12-24',500,3,0,0,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,1175,2,0,0,0,0,0,0
