date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,650,2,1210,4,0,0,0,0,2200,2
'2016-12-16',0,0,0,0,570,1,0,0,0,0,0,0
'2016-12-17',0,0,0,0,1210,2,0,0,0,0,0,0
'2016-12-18',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-19',0,0,570,2,0,0,0,0,0,0,0,0
'2016-12-20',0,0,610,2,1210,2,0,0,0,0,0,0
'2016-12-21',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-22',0,0,570,2,825,6,0,0,0,0,0,0
'2016-12-23',0,0,570,1,0,0,0,0,0,0,0,0
'2016-12-24',0,0,0,0,1210,2,0,0,0,0,0,0
'2016-12-25',0,0,570,1,570,1,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',0,0,0,0,825,2,0,0,0,0,0,0
'2016-12-28',0,0,570,1,570,1,0,0,0,0,0,0
'2016-12-29',0,0,572,2,825,1,0,0,0,0,0,0
'2016-12-30',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-31',0,0,570,1,0,0,0,0,0,0,0,0
'2017-01-01',0,0,495,1,0,0,0,0,0,0,0,0
'2017-01-02',0,0,0,0,925,1,0,0,0,0,0,0
'2017-01-03',0,0,0,0,825,1,0,0,0,0,0,0
'2017-01-04',0,0,532,2,0,0,0,0,0,0,0,0
'2017-01-05',0,0,650,1,825,1,0,0,0,0,0,0
'2017-01-06',0,0,0,0,570,1,0,0,0,0,0,0
'2017-01-07',0,0,0,0,825,1,0,0,0,0,0,0
'2017-01-08',0,0,570,1,0,0,0,0,0,0,0,0
'2017-01-09',0,0,0,0,570,1,0,0,0,0,0,0
'2017-01-10',0,0,0,0,0,0,850,1,0,0,0,0
