date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-16',0,0,1349,4,0,0,0,0,0,0,0,0
'2016-12-17',0,0,920,2,1620,1,0,0,0,0,0,0
'2016-12-18',0,0,1349,4,0,0,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',0,0,1349,4,1620,1,0,0,0,0,0,0
'2016-12-21',0,0,1349,4,0,0,0,0,0,0,0,0
'2016-12-22',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-23',0,0,1349,4,0,0,0,0,0,0,0,0
'2016-12-24',0,0,1349,4,0,0,0,0,0,0,0,0
'2016-12-25',0,0,1349,4,0,0,0,0,0,0,0,0
'2016-12-26',0,0,525,1,0,0,0,0,0,0,0,0
'2016-12-27',0,0,1349,4,1300,1,0,0,0,0,0,0
'2016-12-28',0,0,1340,5,1620,1,0,0,0,0,0,0
'2016-12-29',0,0,1199,5,0,0,0,0,0,0,0,0
